"year","week","Detected","total_vol","smoothed_total_vol.fit","smoothed_Detected.fit","diff_smoothed_total_vol.fit","diff_smoothed_Detected.fit"
2018,2,2,241,69.9990844787134,36.5808586021805,52.7868471274365,27.631208800478
2018,3,2,520,118.819047636538,60.7474661640057,48.8199631578249,24.1666075618251
2018,4,0,244,170.819529917041,88.5121269154276,52.0004822805028,27.7646607514219
2018,5,3,330,123.047998279629,63.5588524337763,-47.7715316374123,-24.9532744816513
2018,6,2,382,209.328172325318,107.167553772407,86.2801740456889,43.6087013386305
2018,7,1,432,204.986436088826,104.958611658985,-4.3417362364917,-2.20894211342156
2018,8,4,626,195.867328971834,100.820982012172,-9.11910711699167,-4.13762964681288
2018,9,3,563,281.457285959707,145.317120060333,85.5899569878725,44.496138048161
2018,10,5,532,323.710704748475,168.567746990982,42.2534187887682,23.2506269306487
2018,11,11,852,246.715121495168,126.361846413348,-76.9955832533067,-42.2059005776343
2018,12,17,1078,304.110638590739,157.27460822238,57.3955170955703,30.9127618090324
2018,13,23,916,248.354778669664,126.98127411544,-55.7558599210742,-30.2933341069404
2018,14,19,663,466.613540931353,257.604507204704,218.258762261688,130.623233089265
2018,15,15,795,368.20257349299,206.595201939287,-98.4109674383622,-51.0093052654169
2018,16,144,1352,605.573840029992,373.240000598189,237.371266537002,166.644798658901
2018,17,8,568,602.315527101755,421.255973611996,-3.25831292823705,48.0159730138076
2018,18,135,1513,527.362839530698,308.841011757483,-74.9526875710575,-112.414961854513
2018,19,0,1373,942.708289126137,605.574080382464,415.34544959544,296.733068624981
2018,20,194,1191,457.109887240663,284.807231696002,-485.598401885474,-320.766848686462
2018,21,25,852,347.204207828237,199.873489239191,-109.905679412426,-84.9337424568108
2018,22,137,1067,256.019925463154,132.924406534023,-91.1842823650825,-66.949082705169
2018,23,160,1276,994.059112770383,708.48793764188,738.039187307229,575.563531107857
2018,24,485,3035,612.55294606136,419.232537100138,-381.506166709023,-289.255400541741
2018,25,442,2962,997.144746643251,713.190330222178,384.591800581891,293.95779312204
2018,26,314,1691,841.359464533428,553.282714590748,-155.785282109823,-159.907615631431
2018,27,194,1400,929.41499112204,636.710790773842,88.0555265886126,83.4280761830942
2018,28,174,1959,1015.10467149991,729.409252205185,85.6896803778693,92.6984614313433
2018,29,635,4656,1289.691219341,896.614546299049,274.586547841091,167.205294093864
2018,30,273,1553,768.225876281333,493.565674738142,-521.465343059668,-403.048871560907
2018,31,113,1162,487.828446425498,299.691601001021,-280.397429855835,-193.874073737121
2018,32,95,1453,558.47060164215,329.414569618412,70.642155216652,29.7229686173915
2018,33,85,1063,341.605362054453,191.936413416591,-216.865239587697,-137.478156201821
2018,34,65,876,327.747162993038,191.604487973333,-13.8581990614148,-0.331925443258456
2018,35,22,617,249.578641673753,135.759006134829,-78.1685213192855,-55.8454818385042
2018,36,19,558,195.351847300629,108.223244917734,-54.2267943731234,-27.5357612170942
2018,37,0,362,211.711320214995,111.633565860651,16.3594729143655,3.41032094291685
2018,38,10,383,158.030591346077,84.9953404333862,-53.6807288689185,-26.6382254272651
2018,39,1,281,96.6060567565747,48.6889838777329,-61.4245345895018,-36.3063565556533
2018,40,0,250,77.3345196859494,39.9762541245506,-19.2715370706253,-8.71272975318233
2018,41,0,128,62.4278042194331,31.8577797092385,-14.9067154665163,-8.11847441531209
2018,42,1,230,28.9603371748624,14.6422693590026,-33.4674670445707,-17.2155103502359
2018,43,1,242,32.3897815377926,16.3787315098034,3.42944436293016,1.73646215080078
2018,44,3,245,37.3653697257686,19.3294798689062,4.97558818797598,2.95074835910281
2018,45,1,256,29.8756716827287,14.984254817847,-7.48969804303986,-4.34522505105913
2018,46,0,89,9.29361442092417,4.91311015073471,-20.5820572618046,-10.0711446671123
2018,47,0,14,53.7484513464269,27.9520015362098,44.4548369255027,23.0388913854751
2018,48,0,0,16.4500644085595,9.33592961325166,-37.2983869378674,-18.6160719229581
2018,49,0,43,123.459827732593,62.8630649558863,107.009763324034,53.5271353426347
2018,50,0,0,28.6230285628071,14.8949468570167,-94.8367991697863,-47.9681180988696
2018,51,1,198,15.4817313108044,7.83493817224887,-13.1412972520027,-7.06000868476782
2018,52,1,226,18.8918646622597,9.44709808688618,3.41013335145534,1.61215991463732
2019,1,0,0,36.3748482732749,19.1664643643665,17.4829836110152,9.71936627748032
2019,2,0,172,97.8060919984755,50.5618782211946,61.4312437252006,31.3954138568281
2019,3,2,293,134.678953761824,68.4255640743281,36.8728617633481,17.8636858531335
2019,4,6,569,119.515088983278,60.3634352490127,-15.1638647785459,-8.06212882531541
2019,5,2,409,122.734980002677,63.3983848951329,3.21989101939943,3.03494964612021
2019,6,1,374,209.326302012254,107.166590909675,86.5913220095769,43.7682060145419
2019,7,1,437,204.985595901867,104.957500570013,-4.34070611038658,-2.20909033966169
2019,8,3,524,195.72820695944,100.635492304569,-9.25738894242738,-4.32200826544459
2019,9,6,820,257.924056691967,132.607197247339,62.1958497325272,31.9717049427709
2019,10,13,855,233.364010342181,120.889336855736,-24.5600463497863,-11.7178603916036
2019,11,2,606,346.16721240417,180.07756771464,112.803202061989,59.1882308589045
2019,12,13,776,304.937711751813,157.882145841237,-41.229500652357,-22.1954218734034
2019,13,0,504,286.130582875981,153.344374632172,-18.8071288758316,-4.53777120906506
2019,14,45,1135,462.223523450951,253.210441470922,176.092940574969,99.8660668387503
2019,15,41,1124,327.168553618192,173.911576391202,-135.054969832759,-79.2988650797199
2019,16,255,2372,571.116136752957,354.201408916577,243.947583134765,180.289832525374
2019,17,246,1371,236.205937109941,125.282819389438,-334.910199643015,-228.918589527139
2019,18,72,971,639.1474040391,391.694429493474,402.941466929158,266.411610104036
2019,19,0,409,943.474915883484,605.966940244401,304.327511844384,214.272510750927
2019,20,397,1923,457.084163508743,284.769184501136,-486.390752374741,-321.197755743264
2019,21,66,961,342.204754520229,184.874424347851,-114.879408988513,-99.8947601532854
2019,22,45,801,255.95582713921,132.903601888955,-86.2489273810194,-51.9708224588962
2019,23,262,1761,996.523664490766,711.774281113122,740.567837351556,578.870679224168
2019,24,0,0,1029.15807551311,680.354115741971,32.6344110223393,-31.4201653711515
2019,25,228,1789,1170.05624825333,807.214420128152,140.898172740228,126.860304386181
2019,26,244,1968,749.322216722566,523.369986975883,-420.734031530768,-283.844433152269
2019,27,360,2300,744.661476083102,473.433729572632,-4.66074063946394,-49.9362574032513
2019,28,431,2288,831.370006813209,509.554961804316,86.7085307301078,36.1212322316842
2019,29,496,2948,1392.94598030213,991.25912305102,561.57597348892,481.704161246704
2019,30,571,3738,676.257400898755,447.634520371447,-716.688579403375,-543.624602679573
2019,31,91,1120,495.189502409222,306.952203379886,-181.067898489533,-140.682316991561
2019,32,97,1335,576.28081174962,337.780907926758,81.0913093403982,30.8287045468724
2019,33,39,821,435.223710342015,253.342909694018,-141.057101407605,-84.4379982327408
2019,34,58,784,348.785241317593,202.154028266165,-86.4384690244221,-51.1888814278524
2019,35,20,606,254.502329834911,139.221793681867,-94.2829114826814,-62.9322345842987
2019,36,21,534,195.30685397375,108.136138419659,-59.1954758611613,-31.0856552622078
2019,37,10,519,198.505730864242,105.026540501952,3.19887689049244,-3.10959791770662
2019,38,12,385,156.980576874507,83.9927131896175,-41.5251539897351,-21.0338273123346
2019,39,0,238,101.324928519373,51.6541162219647,-55.6556483551344,-32.3385969676529
2019,40,2,159,98.9043952491731,49.7112440647563,-2.42053327019983,-1.94287215720834
2019,41,2,253,52.51617878919,27.2077300066118,-46.3882164599831,-22.5035140581445
